sku,store,attribute_set,type,category,root_category,product_websites,brewing,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,enable_googlecheckout,food_pairing,gallery,gift_message_available,has_options,image,image_label,ingredients,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,nice_flowery_sentence,options_container,origins,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tasting_notes,tax_class_id,tea_liquor,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
ART0001,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/9/12 12:06,,,,,test description,No,1,"Excellent with poultry, fish and seafood. ",,0,0,,,Organic White Peony tea with Thai galangal and lemongrass. ,,,,A multi-award winning tea. This is made from organic White Peony tea with Thai Galangal and Lemongrass. A delicately balanced brew of Lavender and herbaceous tones with light spicy notes of Ginger,,White Tea | White Gingerlily | Artisan Selection | Award-Winning Tea,,,Use config,Use config,White Gingerlily White Tea,,,"Invigorate your senses with a herbal bouquet known for its healing properties. 
<p><strong>Past Awards:</strong>
Monde Selection 2010 Silver Award
Great Taste Award 2010
",Block after Info Column,China ,,16.6,0,test description,,,,,,Enabled,Light bodied tea. Delicately balanced brew of lavender and herbaceous tones. Light spicy notes of ginger.  ,Taxable Goods,Light gold,,,6/1/15 4:40,white-gingerlily,white-gingerlily.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,0,1,0,0,,,ART0002,0,ART0002,0,,,,,,,,,,,88,,,1,0
ART0002,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/9/12 12:06,,,,,test description,No,1,"Excellent with poultry, fish and seafood. ",,0,0,,,Organic White Peony tea with Persian Pink Rose and Egyptian basil. ,,,,"A multi-award winning tea, this organic peony white tea with Persian pink rose and Egyptian basil creates a delightfully harmonious blend of flower and herb. ",,White Tea | Nymph of the Nile | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Nymph of the Nile White Tea,,,"The pureness of white tea enhanced with hand-harvested roses. A floral blend worthy of Cleopatra.
<p><strong>Past Awards:</strong>
Great Taste Award 2012
Monde Selection 2010 Silver Award
Great Taste Award 2010
",Block after Info Column,"China, Egypt",,16.6,0,test description,,,,,,Enabled,"Light bodied tea. Sweet, perfumey notes of roses with a herbaceous undertones, ending in a menthol finish.",Taxable Goods,Light gold,,,6/1/15 9:47,nymph-of-the-nile,nymph-of-the-nile.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,1,1,0,1,0,0,,,GOUR0014,0,GOUR0014,0,,,,,,,,,,,88,,,1,0
ART0003,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 2 -3 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with fish and other white meat. Serve without milk. ,,,0,,,"Fujian Jasmine Pearl Green Tea with Moroccan Rose wrapped in a silken sachet
<p><span style=""text-decoration: underline; font-size: medium;""><a href=""http://gryphontea.com/online-store/tea/types/green-tea.html?limit=all"" target=""_blank"">Click here for more Green Teas</a></span></p>",,,,"A multi-award winning tea and one of our best sellers. This is a well-balanced jasmine green tea that uses good quality Jasmine Pearls, is light-bodied and has a subtle hint of Moroccan Rose",,Green Tea | Pearl of the Orient | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Pearl of the Orient Green Tea,,,"<p><span style=""font-size: small;"">One of our Best Selling Green Teas and a&nbsp;<strong></strong><span style=""text-decoration: underline;""><strong><a title=""2014 Great Taste Awards"" href=""http://greattasteawards.co.uk/2014-winners/?product_producer_name=gryphon+tea&amp;category=&amp;rating="" target=""_blank"">2014 Great Taste Awards Winner</a></strong></span>, t<span style=""font-size: small;"">his is what the judges had to say:&nbsp; </span>
<p><span style=""font-size: small;""><span style=""font-size: small;""><span style=""font-size: medium;""><em style=""font-size: 14px;"">""<strong>A well-balanced tea with good use of Jasmine Pearls, this green tea is light-bodied with a subtle hint of rose</strong>""</em></span></span></span>
<p><strong>Past Awards:</strong>
Great Taste Award 2012, Great Taste Award 2011
",Block after Info Column,China,,16.6,0,test description,,,,,,Enabled,"An aromatic tea with exquisite flavours of rose petals, the Pearl of the Orient is made of good quality hand-spun pearls of jasmine-infused green tea leaves that embraces the scent of a garden in full bloom. 
",Taxable Goods,"Bright yellow
",,,16/1/15 3:46,pearl-of-the-orient,pearl-of-the-orient.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,0,1,0,0,,,GOUR0021,0,GOUR0021,0,,,,,,,,,,,88,,,2,0
ART0004,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 2 -3 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with cheese and fish like tuna and salmon. Serve without milk. ,,,0,,,Japanese sencha with osmanthus flowers,,,,"A multi-award winning tea, this Japanese sencha with osmanthus flowers packs a sweet and luscious punch that has a warm, intoxicating aroma of Madagascan Vanilla. A creamy and harmonious concoction that is a sure aphrodisiac for your palate",,Green Tea | Osmanthus Sencha | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Osmanthus Sencha Green Tea,,,"<p><span style=""font-size: small;"">A&nbsp;<strong></strong><span style=""text-decoration: underline;""><strong><a title=""2014 Great Taste Awards"" href=""http://greattasteawards.co.uk/2014-winners/?product_producer_name=gryphon+tea&amp;category=&amp;rating="" target=""_blank"">2014 Great Taste Awards Winner</a></strong></span>, t<span style=""font-size: small;"">his is what the judges had to say:&nbsp; </span>
<p><span style=""font-size: small;""><span style=""font-size: small;""><span style=""font-size: medium;""><em style=""font-size: 14px;"">""<strong>A fairly neutral tea with light clean notes of Apricot and Pineapple</strong>""</em></span></span>
<p><strong>Past Awards:</strong>
Great Taste Award 2012
Great Taste Award 2010",Block after Info Column,Japan,,16.6,0,test description,,,,,,Enabled,Creamy floral top notes of osmanthus flowers paired with mild vegetal notes.,Taxable Goods,Pale green,,,6/1/15 9:42,osmanthus-sencha,osmanthus-sencha.html,"Catalog, Search",200,97,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,0,1,0,0,,,GOUR0032,0,GOUR0032,0,,,,,,,,,,,88,,,2,0
ART0005,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 2 -3 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with spicy dishes and chocolate desserts. Serve without milk. ,,,0,,,Green tea with mint and lemongrass. ,,,,"A multi-award winning green tea with Mint and Lemongrass, this is a good balanced tea with a lasting mint flavour that works well for any occasion",,Mint Green Tea | Marrakesh Mint | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Marrakesh Mint Tea,,,"<p><span style=""font-size: small;"">A&nbsp;<strong></strong><span style=""text-decoration: underline;""><strong><a title=""2014 Great Taste Awards"" href=""http://greattasteawards.co.uk/2014-winners/?product_producer_name=gryphon+tea&amp;category=&amp;rating="" target=""_blank"">2014 Great Taste Awards Winner</a></strong></span>, t<span style=""font-size: small;"">his is what the judges had to say:&nbsp; </span>
<p><span style=""font-size: small;""><span style=""font-size: small;""><span style=""font-size: medium;""><em style=""font-size: 14px;"">""<strong>A good balanced tea with a lasting mint flavour that works well for any occasion""</strong></em></span></span></span>
<p><strong>Past Awards:</strong>
Great Taste Award 2009&nbsp;</p>",Block after Info Column,China ,,16.6,0,test description,,,,,,Enabled,"Light bodied tea. Fresh, herbaceous top notes of lemongrass with a wave of mint on the backnote and a hint of astringency.",Taxable Goods,Copper,,,6/1/15 9:32,marrakesh-mint,marrakesh-mint.html,"Catalog, Search",200,98,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,0,1,0,0,,,ART0012,0,ART0012,0,,,,,,,,,,,88,,,1,0
ART0006,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 2 -3 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with Japanese grilled dishes and creamy vanilla desserts.,,,0,,,Japanese sencha with cherry blossoms.,,,,"Inspired by the Japanese tradition of celebrating cherry blossoms, this Japanese Sencha with Cherry Blossoms has a slight creamy character and mild vegetal notes. A green tea that offers the refreshing flavours of Spring. ",,Japanese Sencha | Hanami | Artisan Selection | Green Tea,,,Use config,Use config,Hanami Green Tea,,,"Inspired by the Japanese tradition of celebrating cherry blossoms, we bring you the very essence of Spring. ",Block after Info Column,Japan,,16.6,0,test description,,,,,,Enabled,"Light bodied tea. Fruity, honeyed top notes of cherry blossoms with a slightly creamy character and mild vegetal notes.",Taxable Goods,Yellow with a tinge of green,,,6/1/15 9:27,hanami,hanami.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,0,1,0,1,0,0,,,ART0004,0,ART0004,0,,,,,,,,,,,88,,,1,0
ART0007,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with afternoon tea sandwiches and pastries.,,,0,,,"Black tea with oil of bergamot, Mediterranean Eucalyptus and Japanese Shiso.",,,,"A 2014 award-winning tea, this is a Darjeeling black tea with oil of bergamot, Mediterranean Eucalyptus and Japanese Shiso. An intriguing blend with light floral and citrus notes that has a gentle menthol finish on the palate ",,Darjeeling Black Tea | Contessa Grey | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Contessa Grey Black Tea,,,"<p><span style=""font-size: small;"">A&nbsp;<strong></strong><span style=""text-decoration: underline;""><strong><a title=""2014 Great Taste Awards"" href=""http://greattasteawards.co.uk/2014-winners/?product_producer_name=gryphon+tea&amp;category=&amp;rating="" target=""_blank"">2014 Great Taste Awards Winner</a></strong></span>, t<span style=""font-size: small;"">his is what the judges had to say:&nbsp; </span>
<p><span style=""font-size: small;""><span style=""font-size: small;""><span style=""font-size: medium;""><em style=""font-size: 14px;"">""<strong>An intriguing mix with a citrus note that is refreshing and complex</strong>""</em></span></span></span></p>",Block after Info Column,Sri Lanka,,16.6,0,test description,,,,,,Enabled,"Medium bodied tea with a short finish. Herbaceous top notes of eucalyptus paired with light floral and citrus notes, ending in a light menthol finish. ",Taxable Goods,Light copper,,,6/1/15 9:20,contessa-grey,contessa-grey.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,0,1,0,0,,,ART0008,0,ART0008,0,,,,,,,,,,,88,,,2,0
ART0008,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with all meats and sweet desserts. ,,,0,,,Classic tea blend with oil of Bergamot and lavender blossoms,,,,An award-winning classic tea blend with oil of Bergamot and lavender blossoms. This medium-bodied tea is a fusion of delicate lavender flowers that tickles the senses with its bold floral top notes and citrus texture,,Black Tea | Earl Grey Lavender | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Earl Grey Lavender Black Tea,,,"A delicate fusion of lavender flowers with tea presented as a tribute to Charles Grey, a former Prime Minister of Great Britain.
<p><strong>Past Awards:</strong>
Great Taste Award 2009",Block after Info Column,Sri Lanka,,16.6,0,test description,,,,,,Enabled,"Medium bodied tea. Aroma of sweet lavender translates into bold floral top notes with notes of citrus, slightly astringent.",Taxable Goods,Gold,,,12/2/15 2:30,earl-grey-lavender,earl-grey-lavender.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,0,1,0,1,0,0,,,ART0007,0,ART0007,0,,,,,,,,,,,88,,,1,0
ART0009,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with curries and  meat dishes. Preferably served with milk. ,,,0,,,"Black tea blend of Assam, Kenyan and Ceylon. ",,,,"An alternative to the traditional English Breakfast tea, have a great start to the morning with this full-bodied black tea blend of Assam, Kenyan and Ceylon",,Black Tea | British Breakfast | Artisan Selection ,,,Use config,Use config,British Breakfast Black Tea,,,A great start to the morning to gently awaken the palate and the mind. ,Block after Info Column,"Assam, Kenya, Sri Lanka",,16.6,0,test description,,,,,,Enabled,"Full bodied, robust tea. Faint floral aroma and malty notes. ",Taxable Goods,Copper red,,,13/2/15 5:58,british-breakfast-tea,british-breakfast-tea.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,0,1,0,1,0,0,,,GOUR0001,0,GOUR0001,0,,,,,,,,,,,88,,,1,0
ART0010,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/9/12 12:06,,,,,test description,No,1,Excellent with desserts and sweets. Served with sweetened milk. ,,,0,,,Sumatran black tea with spices from the Orient. ,,,,"A multi-award winning tea made of Sumatran black tea with spices from the Orient, nutmeg, cloves and a hint of fennel. Enjoy a cup of exotic full-bodied tea that is best served with milk and sugar",,Black Tea | Straits Chai | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Straits Chai Black Tea,,,"Characteristic Malay Archipelago blend of spices and black tea. Best served with milk and sugar.
<p><strong>Past Awards:</strong>
Great Taste Award 2012
Great Taste Award 2008
",Block after Info Column,Sumatra,,16.6,0,test description,,,24/2/15 0:00,13.28,,Enabled,"Full bodied and zesty. Spicy top notes of nutmeg and cloves paired with sweet tones, and a hint of fennel on the back note.",Taxable Goods,Copper,,,24/2/15 9:43,straits-chai,straits-chai.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GOUR0004,0,GOUR0004,0,,,,,,,,,,,88,,,1,0
